message,label
"Hey, are we still on for dinner tonight?",ham
Please review the attached file.,ham
Claim your prize now by clicking this link.,spam
I’ll see you at the office tomorrow.,ham
Get rich quick! Start earning money today.,spam
Claim your prize now by clicking this link.,spam
Limited-time offer. Don’t miss this chance!,spam
I’ll see you at the office tomorrow.,ham
Limited-time offer. Don’t miss this chance!,spam
Call me when you get free.,ham
"Hey, are we still on for dinner tonight?",ham
Let’s catch up this weekend.,ham
Happy birthday! Hope you have a great day.,ham
Exclusive deal just for you. Act fast!,spam
Happy birthday! Hope you have a great day.,ham
Get rich quick! Start earning money today.,spam
Urgent: Your account is compromised. Verify now!,spam
"Hey, are we still on for dinner tonight?",ham
I’ll see you at the office tomorrow.,ham
Get rich quick! Start earning money today.,spam
Win a free iPhone by completing this survey.,spam
Thanks for your help today.,ham
Happy birthday! Hope you have a great day.,ham
Can you send me the report by tomorrow?,ham
Exclusive deal just for you. Act fast!,spam
Can you send me the report by tomorrow?,ham
Can you send me the report by tomorrow?,ham
Special offer: 70% off on all products.,spam
Happy birthday! Hope you have a great day.,ham
Urgent: Your account is compromised. Verify now!,spam
Win a free iPhone by completing this survey.,spam
Can you send me the report by tomorrow?,ham
Let’s catch up this weekend.,ham
Please review the attached file.,ham
Get rich quick! Start earning money today.,spam
Limited-time offer. Don’t miss this chance!,spam
Urgent: Your account is compromised. Verify now!,spam
"Hey, are we still on for dinner tonight?",ham
Congratulations! You've won a free gift card!,spam
Don’t forget to bring your notes to class.,ham
Exclusive deal just for you. Act fast!,spam
Thanks for your help today.,ham
Happy birthday! Hope you have a great day.,ham
Special offer: 70% off on all products.,spam
Special offer: 70% off on all products.,spam
You have been selected for a cash reward.,spam
Limited-time offer. Don’t miss this chance!,spam
Thanks for your help today.,ham
Thanks for your help today.,ham
Exclusive deal just for you. Act fast!,spam
Let’s catch up this weekend.,ham
Can you send me the report by tomorrow?,ham
Can you send me the report by tomorrow?,ham
You have been selected for a cash reward.,spam
Don’t forget to bring your notes to class.,ham
Don’t forget to bring your notes to class.,ham
Special offer: 70% off on all products.,spam
I’ll see you at the office tomorrow.,ham
"Hey, are we still on for dinner tonight?",ham
Can you send me the report by tomorrow?,ham
I’ll see you at the office tomorrow.,ham
Happy birthday! Hope you have a great day.,ham
Get rich quick! Start earning money today.,spam
Congratulations! You've won a free gift card!,spam
Meeting is rescheduled to 3 PM.,ham
Let’s catch up this weekend.,ham
Can you send me the report by tomorrow?,ham
Meeting is rescheduled to 3 PM.,ham
I’ll see you at the office tomorrow.,ham
Let’s catch up this weekend.,ham
You have been selected for a cash reward.,spam
I’ll see you at the office tomorrow.,ham
Thanks for your help today.,ham
Congratulations! You've won a free gift card!,spam
Urgent: Your account is compromised. Verify now!,spam
Meeting is rescheduled to 3 PM.,ham
Exclusive deal just for you. Act fast!,spam
Can you send me the report by tomorrow?,ham
Special offer: 70% off on all products.,spam
I’ll see you at the office tomorrow.,ham
Let’s catch up this weekend.,ham
I’ll see you at the office tomorrow.,ham
Limited-time offer. Don’t miss this chance!,spam
Don’t forget to bring your notes to class.,ham
I’ll see you at the office tomorrow.,ham
Please review the attached file.,ham
